barcode,name,brand,ingredients,allergens,energy_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,serving_size,category,is_sustainable
5397136011969,Chip Shop Curry Sauce,Chef,"Water, Sugar, Vegetable Fat, Curry Spices 4.3% (Coriander, Turmeric, Cumin, Ginger, Cassia, Fenugreek, Chilli, Clove, Mustard Flour, Black Pepper, Garlic Powder, Fennel), Modified Maize Starch, Rice Starch, Tomato Powder, Flavourings (contains Celery), Glucose, Lactic Acid, Salt, Flavour Enhancers (Monosodium Glutamate, Sodium 5-Ribonucleotides), Antioxidant (Calcium Disodium EDTA), Citric Add, Sweetener (Sucralose). For allergens, please see ingredients in bold. Gluten Free No Hydrogenated Fat Suitable for Vegetarians","bell-pepper, celery, cereals-containing-gluten, chili, cinnamon, clove, coriander, corn-maize, cumin, garlic, ginger, msg-monosodium-glutamate, mustard, rice, sucralose, tomato, turmeric",352.0,84.0,4.1,1.6,10.0,4.3,0.9,15g,Condiments & Others,0
5397136012300,Taco mixed beans,Bachelors,"Mixed Beans in variable proportions (Kidney Beans, Haricot Beans, Pinto Beans) (56%), Tomato (32%), Water, Sugar, Modified Cornflour, Salt, Red Peppers (0.3%), Chilli Powder, Green Peppers (0.2%), Garlic Powder, Onion Powder, Acidity Regulator: Acetic Acid; Seasoning, Paprika, Cumin, Black Pepper, Natural Flavourings, Yeast Extract.","bell-pepper, chili, cumin, garlic, onion, paprika, tomato, yeast",401.0,95.0,0.4,0.1,15.5,5.6,5.2,133g,Condiments & Others,0
5397136013116,digestive biscuits,lemons,"Fortified Wheat Flour Wheat Flour, Calcium bonate, Iron, Nicotinamide, Thiamin], Vegetable Clis (Sustainable Palmi, Reed in varying proportions), Wholemeal Wheat Flour, Sugar, Partially - Ga ners Syrup, Whey Powder (Milk), Raising Agents (Sodium Hydrogen mmonium Hydrogen Carbonate), Salt. or also Inta uding cereals containing gluten, see ingredients in bold. va","cereals-containing-gluten, milk",2079.0,494.0,22.0,10.0,65.0,16.0,7.5,13.5g,Food,1
5397136016599,Quick & Easy Irish Oats,Odlums,"Wholegrain Porridge Oat Flakes (80%), Skimmed Milk Powder.","milk, oats",114.0,27.2,0.33,0.1,4.28,0.39,1.33,57g,Food,0
5397136019118,vanilla oat hoops,Kelkin,"oat flour (60%), maize flour, wholegrain maize flour, sugar, raising agent [potassium bicarbonate], antioxidant [ascorbyl palmitate, tocopherol-rich extract, acid: citric acid], natural vanilla flavouring (1%), salt, glucose syrup,","cereals-containing-gluten, citric-acid, corn-maize, oats, vanilla",1785.0,427.0,5.1,0.9,79.0,9.1,11.0,35g,Condiments & Others,1
5397136019606,Vibes Milk Chocolate,Jacobs,"Milk Chocolate (50%) [Sugar, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Lactose, Whey Powder (Milk), Butter Oil (Milk), Emulsifier: Soya Lecithin, Flavouring], Wheat Flour, Sugar, Sunflower Oil, Whole Milk Powder, Glucose Syrup, Raising Agents [Ammonium Carbonate, Sodium Carbonate], Salt, Emulsifier: Sunflower Lecithin, Flavourings.","cereals-containing-gluten, chocolate, cocoa, lecithin, milk, soybeans, sunflower-lecithin",2064.0,493.0,23.0,11.0,63.0,38.0,7.5,21g,Food,0
5397136019620,vibes Cookies and Creme,Jacobs,"Milky Bar (Milk) 50% [Sugar, Vegetable Fat (Coconut, Cocoal Butter), Lactose, Skimmed Milk Powder (4%), Emulsifier: Soya Lecithin, Flavouring], Wheat Flour, Sugar, Sunflower Oil, Cocoa (3%), Raising Agents [Ammonium Carbonates, Sodium Carbonates], Salt, Emulsifier: Sunflower Lecithin, Flavourings.","cereals-containing-gluten, cocoa, coconut, lecithin, milk, soybeans, sunflower-lecithin",2179.0,521.0,27.0,19.0,64.0,42.0,4.8,21g,Food,0
5397199003932,Breaded fish fillets,Donegal catch,"Alaska Pollock (Theragra chalcogramma) (Fish) (54%), Wheat Flour (contains: Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Rapeseed Oil, Salt, Yeast, Yeast Extract, Wheat Starch, Garlic Powder, Onion Powder, Pepper, Mustard Powder, Flavourings, Raising Agents (Disodium Diphosphate, Sodium Bicarbonate).","bell-pepper, cereals-containing-gluten, fish, garlic, mustard, onion, yeast",922.0,220.0,9.0,1.2,21.0,0.5,13.0,91g,Food,0
5397199004472,Fish Nuggets,Donegal Catch,"Alaska Pollock (Theragra chalcogramma) (Fish) (55%), Wheat Flou (contains: Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Maize Flour, Rapeseed Oil, Wheat Starch, Salt, Tapioca Starch Coconut Oil Powder, Dextrose, Thickener (Xanthan Gum), White Pepper, Mustard Powder.","bell-pepper, cereals-containing-gluten, coconut, corn-maize, fish, mustard, xanthan-gum",1040.0,250.0,14.0,1.9,18.0,0.7,12.0,1portion,Food,0
5397199004809,Frozen Sweetcorn,Green Isle,100% Sweetcorn.,,395.0,94.0,2.7,0.6,12.0,4.9,3.7,80g,Food,0
5397199004908,Penne pasta and vegetables,Green isle,"Mezze Penne (45%)(Water, Durum WHEAT), Carrot (12%), Sweetcorn (12%), Broccoli (10%), Red Pepper (10%), Coating (6%) (Salt, Tomato, Tapioca Starch, Garlic, Onion, Spice Extract, Herbs (Basil, Oregano, Thyme), Sunflower Oil, Water, Olive Oil), Onion (5%). ALLERGY ADVICE:","basil, bell-pepper, broccoli, carrot, cereals-containing-gluten, garlic, onion, oregano, sunflower-lecithin, thyme, tomato",525.0,124.0,1.5,0.2,22.0,3.3,4.4,150g,Condiments & Others,0
